kata,frekuensi
indonesia,5645
main,5048
timnas,4959
arab,2311
menang,2001
lawan,1402
garuda,1393
saudi,1348
dunia,1297
alhamdulillah,1255
bagus,1113
moga,1068
paes,1057
rcti,1038
piala,965
kalah,933
kasih,906
gol,894
iya,886
keren,884
indo,832
sty,830
banget,819
imbang,816
mantap,768
bola,735
terima,732
bangga,728
tim,719
lihat,700
nonton,678
tanding,653
poin,650
semangat,628
latih,578
udah,578
verdonk,572
tahan,554
lolos,552
kelas,541
hasil,538
ku,532
bravo,516
wasit,509
juang,494
pildun,489
masuk,482
kandang,480
menit,477
mancini,471
marselino,468
highlight,464
peluang,464
australia,443
komentator,433
towel,428
ragnar,419
versus,384
nyala,379
marcelino,375
allah,373
babak,371
baik,365
kali,345
jepang,340
negara,339
dukung,335
serang,331
hebat,328
naturalisasi,319
king,314
bikin,312
selamat,311
sih,310
orang,310
bahrain,307
lokal,305
gbk,300
point,300
gila,299
kiper,299
asia,293
si,287
untung,286
eropa,284
level,276
bang,275
pas,274
ganti,269
maju,267
malam,265
kaya,265
ayo,263
laga,262
full,261
sayang,249
salah,247
langsung,243
suka,240
kayak,237
nih,236
kuat,232
habis,232
tenang,230
merah,226
match,223
witan,222
doa,222
hubner,222
good,221
haji,220
putih,219
tv,218
argentina,217
gin,217
salut,216
marten,214
belah,212
liga,211
hujat,209
beda,209
terbang,209
struick,206
biar,206
rafael,206
haru,204
emang,202
kualitas,201
bawa,201
goal,201
mental,199
kartu,197
turun,197
team,195
seri,194
best,191
komentar,191
bukti,189
maen,187
harap,186
keras,184
coba,184
rumput,182
ridho,182
bener,181
cetak,181
gawang,180
sia,179
mudah,178
roberto,178
hati,177
tampil,177
kena,176
siar,175
striker,175
lapang,174
aamiin,174
umpan,173
pssi,173
tidur,171
coach,167
konsisten,166
depan,164
belanda,164
tonton,162
anak,161
tolong,159
tau,158
mimpi,156
tinggal,155
next,155
kerja,153
asli,152
jay,149
amin,149
penalti,147
tanah,145
jaya,145
suporter,145
karna,144
sepak,144
bilang,144
asa,142
alhamdulilah,141
top,140
martin,139
lini,139
china,138
wak,137
bantai,137
percaya,137
butuh,137
timnasku,137
go,136
ulang,136
air,136
raih,135
job,135
sejarah,134
nama,134
syukur,134
tunggu,133
nahan,133
tuh,133
tendang,132
merinding,132
jalan,131
posisi,129
ngeri,129
blunder,129
marteen,128
oke,126
pake,126
kemarin,125
tingkat,124
haye,124
min,123
gacor,122
al,122
justin,122
mana,121
penuh,120
