comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
Rcti   tolong klo timnas nti main di indo   b jgan sampai di ambil alih    sama tifi ikan,rcti tolong kalau timnas nti main di indo jgan sampai di ambil alih sama tifi ikan,"['rcti', 'tolong', 'kalau', 'timnas', 'nti', 'main', 'di', 'indo', 'jgan', 'sampai', 'di', 'ambil', 'alih', 'sama', 'tifi', 'ikan']","['rcti', 'tolong', 'timnas', 'nti', 'main', 'indo', 'jgan', 'ambil', 'alih', 'tifi', 'ikan']","['rcti', 'tolong', 'timnas', 'nti', 'main', 'indo', 'jgan', 'ambil', 'alih', 'tifi', 'ikan']",rcti tolong timnas nti main indo jgan ambil alih tifi ikan,negative
16:44  adu penalti,adu penalti,"['adu', 'penalti']","['adu', 'penalti']","['adu', 'penalti']",adu penalti,negative
"Tgl 10 Sept kita MerahPutih-kan GBK, 3 poin pertama dari Australia. Terbang tinggi Garudaku!",tgl sept kita merahputih kan gbk poin pertama dari australia terbang tinggi garudaku,"['tgl', 'sept', 'kita', 'merahputih', 'kan', 'gbk', 'poin', 'pertama', 'dari', 'australia', 'terbang', 'tinggi', 'garudaku']","['tgl', 'sept', 'merahputih', 'gbk', 'poin', 'australia', 'terbang', 'garudaku']","['tgl', 'sept', 'merahputih', 'gbk', 'poin', 'australia', 'terbang', 'garuda']",tgl sept merahputih gbk poin australia terbang garuda,negative
"gercep amat min,
tipi sebelah aja yang lemot sering salah potong klip 😂",gercep amat min tipi sebelah saja yang lemot sering salah potong klip,"['gercep', 'amat', 'min', 'tipi', 'sebelah', 'saja', 'yang', 'lemot', 'sering', 'salah', 'potong', 'klip']","['gercep', 'min', 'tipi', 'sebelah', 'lemot', 'salah', 'potong', 'klip']","['gercep', 'min', 'tipi', 'belah', 'lot', 'salah', 'potong', 'klip']",gercep min tipi belah lot salah potong klip,negative
Tim Indonesia orang-orangnya kok campur ad orang bule jga knp??,tim indonesia orang orangnya kok campur ada orang bule jga kenapa,"['tim', 'indonesia', 'orang', 'orangnya', 'kok', 'campur', 'ada', 'orang', 'bule', 'jga', 'kenapa']","['tim', 'indonesia', 'orang', 'orangnya', 'campur', 'orang', 'bule', 'jga']","['tim', 'indonesia', 'orang', 'orang', 'campur', 'orang', 'bule', 'jga']",tim indonesia orang orang campur orang bule jga,negative
Verdonk mode profesional gak mau terbuai medsos dan banting tulang naik turun ambil bola.,verdonk mode profesional tidak mau terbuai medsos dan banting tulang naik turun ambil bola,"['verdonk', 'mode', 'profesional', 'tidak', 'mau', 'terbuai', 'medsos', 'dan', 'banting', 'tulang', 'naik', 'turun', 'ambil', 'bola']","['verdonk', 'mode', 'profesional', 'terbuai', 'medsos', 'banting', 'tulang', 'turun', 'ambil', 'bola']","['verdonk', 'mode', 'profesional', 'buai', 'medsos', 'banting', 'tulang', 'turun', 'ambil', 'bola']",verdonk mode profesional buai medsos banting tulang turun ambil bola,negative
"INGAT HARUS TETAP RENDAH HATI !!
INGAT WAKTU KITA DI KALAHKAN CHINA !!",ingat harus tetap rendah hati ingat waktu kita di kalahkan china,"['ingat', 'harus', 'tetap', 'rendah', 'hati', 'ingat', 'waktu', 'kita', 'di', 'kalahkan', 'china']","['rendah', 'hati', 'kalahkan', 'china']","['rendah', 'hati', 'kalah', 'china']",rendah hati kalah china,negative
Kita cukup tahan imbang dikandang lawan itu sudah luar biasa baik untuk mencuri point👍,kita cukup tahan imbang dikandang lawan itu sudah luar biasa baik untuk mencuri point,"['kita', 'cukup', 'tahan', 'imbang', 'dikandang', 'lawan', 'itu', 'sudah', 'luar', 'biasa', 'baik', 'untuk', 'mencuri', 'point']","['tahan', 'imbang', 'dikandang', 'lawan', 'mencuri', 'point']","['tahan', 'imbang', 'kandang', 'lawan', 'curi', 'point']",tahan imbang kandang lawan curi point,negative
Warga 62 gherkn dnia skaut mancni sja d lwan bosssss,warga gherkn dnia skaut mancni sja di lwan boss,"['warga', 'gherkn', 'dnia', 'skaut', 'mancni', 'sja', 'di', 'lwan', 'boss']","['warga', 'gherkn', 'dnia', 'skaut', 'mancni', 'sja', 'lwan', 'boss']","['warga', 'gherkn', 'dnia', 'skaut', 'mancni', 'sja', 'lwan', 'boss']",warga gherkn dnia skaut mancni sja lwan boss,negative
"Untung penalti ga gol, klo gol habis tuh paes sama netijen.. jgn bgtulah 😂",untung penalti tidak gol kalau gol habis tuh paes sama netijen jangan bgtulah,"['untung', 'penalti', 'tidak', 'gol', 'kalau', 'gol', 'habis', 'tuh', 'paes', 'sama', 'netijen', 'jangan', 'bgtulah']","['untung', 'penalti', 'gol', 'gol', 'habis', 'tuh', 'paes', 'netijen', 'bgtulah']","['untung', 'penalti', 'gol', 'gol', 'habis', 'tuh', 'paes', 'netijen', 'bgtulah']",untung penalti gol gol habis tuh paes netijen bgtulah,negative
