cleaned_stemmed,sentiment_prediction
inti timnas indo menang kalah tetep puji langit,negative
jama ah al nopekiah liaceng hadir,negative
grup hancur,negative
target imbang arab saudi kalah syukur indonesia karna main game target coach sty kru penuh,negative
gacor parah marcelino malam,negative
suhu gila cuyy menang,negative
wasit tarik nafas smbil mlengos hahh pas niup pluit pnjang kecewaa dhh saudi klahh,negative
nmr kilas roberto carlos,negative
gilir pas tayang siar langsung susah nonton live,negative
martens paes udah kosong pdhal main kualitas eropa suruh main parkir bus mulu ngandalin counter attack doang mending counter gg serang putus jalan kwkwkw main arab pdhal kualitas pede main kuasa bola nyerang dikte lawan dapet peluag cetak goll tahan total segitu banget nyari point lawan jepang selesai kualitas main jepang tau main tahan dlu timnas main tahan lawan tim asia kuat main naturalisasi ujung kalah,negative
al buyani kalah ragnar sok keras ronaldo mes sok keras son,negative
efek dodo main arab main arab lembek,negative
proses gol indonesia ragnar karna raghnar tendang umpan komentator gimana sih,negative
si botak nyala bat anjeer,negative
rumput,negative
kasih tau malaydesh,negative
gila jam tembus jt,negative
masuk main pribumi langsung turun main gempur habis,negative
dik baya gagal bos marcelino,negative
oratmangon patut acung jempol kerja keras,negative
puo goll goll paleng seruh,negative
next bikin kejut kandang go go go tomnas indonesia nyala marten paes,negative
tv belah tayang ulang cuman menit,negative
latih arap mancini bos,negative
jaman timnas main tandang lawan arab saudi latih roberto mancini ngimbangin keinget lawan negara arab udah gempur bantai mentall,negative
udah bilang lawan jepang saudi australi apa banding lawan qatar,negative
sengaja imbang biar kuota haji rang,negative
marteen paes pinalty tenang banget kayak orang utang kayak loe loe pade,negative
indonesia main sumpahin lolos piala dunia,negative
mah indo ngegolin tolong komentator analis diem detik ngerasain gemuruh stadion buar nonton tv streaming ganggu mah sih,negative
reflek nonton hp pas goll banting hp haru lihat indonesia menang semngat garuda,negative
rasa nonton kali ap sakit obat sembuh timnas menang akaan wujud tumbuh timnas ku menang menang cetak sejarah indonesia welcome word cup sholallohu ala muhammad,negative
peluang bola struick lemah pantes juluk el klemer yah sty pilih depan si hoki sananta,negative
arab emang tukang pangkas iya,negative
knpa main sngt sulit gol main tumpul harap coach bsa temu ganti nhe struick saing padan biar brwarna,negative
ne main indonesia incar club arab habis mtach,negative
thowell marselino golin komentar bungwell,negative
gol bujur,negative
pribumi iya lolos pildun,negative
tinggal cari striker gacoor,negative
laga home saudi menang bayang betapa bahaya saudi juara asia perdelapanfinal piala dunia gitu lho tahan imbang kandang,negative
lawan langgan masuk pildun nahan imbang,negative
oh menang lawan argentina kemaren pas piala dunia,negative
ragnar ngak offside jawb bang,negative
timnas hadap tim tim timur kalah segi fisik badan tara tinggi,negative
bantu wasit tuh arab upss,negative
ganyang bahrain inimah,negative
sih kalah jepang kecewa,negative
sayng raafael matang assist sempat mas babak trbuang,negative
percaya kabar rumput gbk ngasih tau,negative
baju putih real madrid,negative
haru ina,negative
denger,negative
sumpah bacain komenan namgis bangga bngt timnas,negative
ragrar serasa donyell malen,negative
sandy ngapain masuk gawang lawan,negative
asa main gbk njir mental best king indo,negative
menit rafael egois ngak oper ragnar,negative
verdonk paru,negative
gokill timnas kereenn,negative
numpang kevin dick main nggk,negative
kalah menang jantung,negative
bnyak kealahan drirafael struick,negative
lihat tom haye kaya lihat andrea pirlo maen ogah ogah umpan akurat,negative
last chance aduh sayang banget rafa pelan passing gpp syukur hasil lumayan poin away,negative
nonton siar ulang full match mana yah bang,negative
gercepp,negative
la gitu hbis nyanyi tanah air belanjud menyiarkanya dlam main sambut fans mntap rcti,negative
iklan rokok kntll anjg,negative
butuh striker murni,negative
gercep mnc mantp,negative
knpa panjang banget yak,negative
si towell da suara,negative
lokal main bantai dlu tim arab main timnas menang telak skrg marten paes bawa aura lawan anggap enteng coba ernando main bulan gol,negative
verdonkk,negative
komentator bahasa inggris peter drury nonton chanel iya,negative
hoki indo pake kaos putih pake kaos merah hoki kalah coba pake putih,negative
udah nontol full semalem sangking bangga timnas keren nonton cuplik next bismillah point gbk,negative
negara asean iri iya,negative
tendang lino sandy walls,negative
bantu wasit maen drama nyari pinalty banget tendangn bebas langsung kalah pantes arab saing lolos world cup kualitas bantu wasit notabene banyak timur pas word cup mati ketemu wasit eropa afrika bayar hahahha,negative
brisik banget suporter indonesia menit menit,negative
mata main indonesia indonesia main eropa main gilee,negative
sctv lihat tuh gimana rcti kerja,negative
bonek mojokerto hadir insting gol si bocah ajaib marcellino sejajar luonel messi bos,negative
gempur gokil tahan,negative
habis tanding syukur keren takjub indonesiamendunia,negative
haters marcelino sty mingkem nyari bacolan,negative
