cleaned_stemmed,sentiment_prediction
poin perdana nilai tanding timnas senior hadap saudi arabia,positive
garudaq kelas argentina vietnam kalahkn timnas qta lapis mreka mmpu kalahkn jerman,negative
lihat mancini gbk eh pecat,negative
pffsoz,positive
shin busukk indo laos busuukk,negative
sandy wals wajah raffi ahmad,positive
wak haji juara,positive
point,positive
latih ganti iya,positive
lapang bagus banget,positive
htgfgcg wall jatuh indonesia lawan,negative
udah tonton tonton giniya timnas kuat,positive
narniati arab kuat dikiit aminn,positive
seru banget nontonnya,negative
untung tidakgol,positive
hings,positive
allah indonesia menag,negative
kasimenang,positive
indonesia mode jersey putih,neutral
gila well indonesia,negative
keren banget indonesia,positive
semangat tim inddo,positive
indon esia,positive
enonsea akrhrtikamu,positive
apt,positive
moga menang aminn,positive
iya gimana,positive
eliano coret,positive
semangat indonesia,positive
sanfan jfaaj jfajnn ajn jfaaj,positive
asuu,positive
tanding oemain full power hujat loses hormat main lapang,negative
iya harap tanggal september indonesia menang lawan arab mak simal,negative
jebol gawang,negative
indonesia,positive
ssngt sayang kn strook umpan ragnar maruk menang indonesia,negative
nice ragnar,positive
demo beras,positive
liga saudi sekolah dasar liga dunia cristian ronaldo neymar rumput liga saud garuda sekolah dasar imbang sekolah dasar sbuah kmjuan pesat,positive
tarkam,positive
maling maling,negative
go,positive
lihat kali tolong rcti ngundang komentatir ucap nyalabin main timnas kasi main kadang bully netizen kadang hujat tolong iya rcti,negative
ketemu arab kandang sorakin drama gin emang bener bener main wasit timur,negative
witan sulaiman ajar finishing dh umpan depan gawang witan sempurna finishing,positive
sip,positive
pdhl tendang bahaya,negative
ering,negative
mantap,positive
arab duku ng israeal,positive
kreen main indonesia arab imbang mai,positive
kenang manis tak ku lupa nonton langsung jujur krj sopir arabia skrg pulng indo bengong indo main negri mf tau naturalisasi tinggal berita maklum kuli smngt maju garuda ku mantaap,positive
riski ridho layak main negeri lawan china cadang,negative
mending adem lihat gin susun main kapten layak jay idzes,negative
main kebsnyakan naturalisasi main indonrsia fikri main bagus duet wilan main,positive
mancini heran heran tim debut pildun maen gila,positive
bagus iya kemah malam anji,positive
obat hati nonton ulang akibat kalah china,negative
arab saudi bahagia kalah argentina lena sejarah mpe,negative
kali lihat gawang marteen paes bobol,negative
menit raut wajah main arab saudi heran heran ape bende nii,negative
indonesia,positive
sebnernya negara asia gaada apa mata king indonesia krana indonesi sllu dicurangin wasit mafia afc makan indoesia maju sekrng pssi eriq tohir wajib pantau tuhh afc da wasitnnya wasit negara arab indonesia cetak goll cheking goll var teruss negara timur arab sportif olah raga karna guling guling fc,negative
timnas emang bagus greget menang main naturalisasi kasi main lokal,positive
martin paes getes sek il,negative
emg ngerti atur main bola suka kesel nonton bola main drama senggol dikit udah tinggal anjim iya main indonesia dikasarin guling kadang dicuekin sorot kamera anjim banget wasit banyak berat belah emosi ih,negative
masallah sampurna marteen paes,positive
versus,positive
ok,positive
moga mlm menang bahrain,negative
piala dunia pilih pilih indonesia like,positive
suara dukung timnas garuda,positive
dik belanda gagal mudah kerjasama pssi knvb hasil main kualitas lihat,negative
arab saudi kutik timnas,positive
sumpah nyesel sabar kritik caci timnas indonesia sang garuda bangun puruk bukti keritikan,negative
tonton kali kali tersepona main aji botak ngotot bang gatusonya italy bnr predator aji ragnar botak gundul ayo botak kalah bahrain match kamis,negative
main juang kuat tenaga dukung timnas bineka tunggal ika,positive
go garuda go,positive
main tegang main tim senior indonesia kualifikasi piala dunia senior gacorr bosan tonton main tim senior indonesia,positive
mesti bandara ikn nusantara milik jaring ground madam bakar insiden track runway cepat tangan sigap cepat backup mobil madam milik hanggar hanggar maintenance ringan medium bandara multi fungsi modern,positive
yth pimpin rcti lapor langgar hak siar streaming timnas indonesia ilegal izin wedang omah dewe alamat tegal krecek rt rw geneng kab sukoharjo jawa situ nobar ijin raup untung juta langgar uu ttg siar pasal undang undang nomor siar uu hak cipta,negative
belanda cabang asia timnas indonesia era kuwalifikasi piala dunia zona asia piala asia piala dunia,positive
materi main timnas indonesia belanda bule blaster kulit putih ganteng ganteng belanda cabang asia kalok australia inggris cabang asia timnas indonesia timnas australia serum kakak piala asia lolos piala dunia main tampil kancah panggung gelar hajat akbar piala dunia timnas indonesia,positive
asli ketawa struick nih main usil banget kerja,positive
transisi tahan serang cepat bola oper struick praktis witan ragnar,positive
timnas pulang bawa point laga bahrain china,positive
jaga ketat,positive
main fokus posisi stracer bawa bolah depan posisi diri skil filing bolah gawang lawan,positive
goo indonesia,positive
ngeri menang lawan arab liga arab ngeri,positive
importance playing strong teams increase mentality experience,positive
semngat indonesia ku,positive
sumpah nomor mukul main indonesia tanding kasih kartu merah sih tdi loh mukul main indo,negative
timnas indonesia lolos piala dunia fifa timnas indonesia tampil putar final piala dunia fifa amerika kanada meksiko perintah indonesia wajib bikin film dokumenter dana perintah indonesia jalan terjal dramatis timnas indonesia piala dunia fifa zero hero ranking fifa sekolah dasar rangking fifa produser film sutradara hollywood kualitas film tara film produksi hollywood epik dramatis sesuai jadi nyata film statement sty sty istri jalan hidup hayat negeri indonesia juang main timnas indonesia juang federasi sepakbola indonesia juang tim latih sty proses naturalisasi ribet tragedi kanjuruhan supporter liga durasi film menit tuju utama bangkit semangat nasionalisme main timnas masyarakat indonesia cinta tanah air alternatif judul film road dream comes true national hero unforgettable never honour proud shine,positive
hayo minum yakul biar kuat lari,negative
berfikiran salah tingkat prestasi indonesia panggil putra putri baik pertiwi eropa alhamdulillah skrg wujud,negative
asa ayo tim nas jonggol,negative
gol koreksi fifa iya gol sandy walsh,positive
ayo rebut stasus maroko asia,positive
tenang lang,neutral
tolong latih sty control bola iya baik blunder control bola serung hilang bola semga indonesia lolos pildun amin,positive
minimal indonesia menang kayak ti iya malaysia kalah cowok minimal indonesia malaysianya itu pot ngapain tim indonesia palestina cinta sayang malaysia kalam indonesia,negative
serasa nonton eropa moga masuk piala dunia,positive
witann etos kerja bagus,positive
keren sepak bola maju,positive
timnas yess,positive
dunia gempa tetonik kepak sayap garuda,positive
rafael struick teralalu laku salah,negative
mancini heran lihat indonesia,positive
bang paes kirain blunder tes kodam mantap bang paes,positive
gambar bagus oii,positive
tanggal oktober timnas main,positive
moga indonesia juara aminn,positive
kelas mancini gaada harga,negative
mohon izin share,positive
bravo timnas indonesia,positive
moga main persib masuk timnas,positive
komentator lebay,positive
timnas indonesia nilai karnamainnya jago,positive
oratmangoen wayne rooney,positive
main naturalisasi cukur dunggul arab saudi bikin bangga lihat main timnas indonesia,positive
mrrinding sandi sang kocak gol bosan lihat main info,negative
kayak roberto mancini iya latih arab,positive
bgus banget yah,negative
asa arab narik baju engga langgar yah indo narik dikit langgar,negative
gila sih main indonesia kali,negative
jersey mantap,positive
highlight kelas banget beda cenel belah,positive
goo,positive
ngak kontrak eksklusif valentino simanjuntak iya,negative
towel mana woy,positive
puter ulang match andai umpan rafael sukses ragnar pas counter attack penalti arab peluang gol deh,positive
game online,positive
ayo indonesia,positive
malu indo main keras,negative
bangga main timnas,positive
babak bur iya arab,positive
arab penah menang lawan jerman,negative
belanda versus arab,positive
naturalisasi wow,positive
babak parkir bus ngelawak sty,negative
salah indonesia,negative
witan pasingny bikin saudi beranta,positive
semangat,positive
iuouyijjn vv hvhhv bijhojjhfjjr bu yev ug brf,positive
witan stamina lemah,negative
putar kali bosan bravo timnas,positive
detik tegang,negative
ketemu erik milik saham intermilan mancini latih intermilan era intermilan track,positive
momen emas timnas indonesia bangkit indonesia terbang,positive
peluang terahir anjir gol,positive
komentator asik ngak kaya indosiar,positive
timmas indonesia reborn bravo sepakbola indonesia,positive
greget banget menit terkahir rafael struick nanggung umpan oratmangoen goal udah positif bawa point arab,positive
gilo indo bos tahan imbng arab aust,negative
indonesia lawan cina,negative
gawang biasa soting rimbol mode goll bola sulit indah,positive
main arab curang main tarik tarik,positive
rafael struick matang cari striker gacor romeny,negative
moga lolos,positive
ulng ulng ntar main kandang sendri bkln bntai arab,negative
indo kerass,negative
kuat tambah mees eliano mimpi indonesia lolos pildun wujud moga,positive
kasihan roberto mancini,positive
insting sandy wals jauh mantau langsung lari nyongkel bola,positive
arab saudi ngapusi gagal penalti makan tinggal tel muntah cecek,negative
lucu coba dengar komentator satu dengar pinter bilang keluar,negative
arab versus timnas belanda,positive
komentator norak,negative
bosan bosan highligt indonesia versus arab saudi smga oktober full point,negative
yu minum kopi abng yu,positive
mainlahsemangatdyangalupaberduahyong,positive
timnas indonesia dunia,positive
kamana,positive
joos,positive
suka had ahay timnas cetak gol bilang alhamdulillah nyala,positive
semangat indonedia,positive
bahaya ragnar oratmangoen kotak penalty,negative
lbh bagus witan drpd marcelino,positive
idzes cocok pantes banget captain,positive
aduh sayang gol arab kena pundak verdonk maarten paes bener baca bolanyaa okay lets goo timnas,negative
assist witan bagus banget cocok main bareng diaspora,positive
main bagus indonesia mantap,positive
king indo argen,positive
fans witan gera witan susah jaga lawan peluang serang,positive
brengsek iklan yt awal,positive
tompel situa bangka sakit hti,negative
sekala nervous foitball indonesia keren,negative
bravo indonesia,positive
semangat timnas ku indonesia emas,positive
ngeri kali latih arab,positive
indonesia,positive
belah roberto mancini bikin pusing sty,negative
ihdinasirotol mustaqim lurus maju garuda,positive
latih indonesia yaman korea,positive
indonesia dana prob garuda maju,positive
si towel nonton iya,neutral
muda mudah lolos,positive
bola mantul iya pakal gil,negative
kabar sitoel tukang parkir,positive
ijinkanlah masuk piala dunia allah beri sempat rakyat gila sepakbola,positive
idola verdonk,positive
komentator lebay,positive
king indo tandang mai bagus,positive
rumput bagus,positive
keren,positive
indonesia rumput bgus,negative
wow,positive
supah bgs seru banget,negative
kualitas rumput bagus inima mudah main timnas bawa bola,positive
asli pribumi sayang tonton mas rapi wangi,positive
penting sty sejajar latih top dunia mantap sty,positive
auto subscribe rcti entertainment highlight lengkap,positive
majuu timnas indonesia ku love,positive
rcti raisa sgtlah cantik moment sprt pilih bintang tamu suara gelegar semangat,positive
timnas indonesia serang mati mesin gol,negative
bagus idn,positive
mnuju ind sakit beking koruptor rakyat mati knraka yutub mualaf felik dondy,negative
bebuat haram pro tim miring celaka knraka yutub mualaf felik dondy,negative
untung arab saudi kandang tahan imbang king asia gbk udah bantai king asia,positive
komentator rcti kadang salah nama main kadang kes lebay,negative
edanken mang pokonamah ewe ewe ewe,positive
iya allah semuga indonesia masuk piala dunia,positive
amazing team indonesia skrng ubah,positive
peningkata main timnas,positive
struick little bit calm pass point wide open,positive
oeratmangoen asa ky gattuso indonesia,negative
wak haji,positive
alhamdulillah timnas luar duga tahan kuat fisik lebih tim arab saudi samping cepat samping kerja tim solid kuat fisik arab saudi ter nyata intimidasi main,positive
hidup sty,positive
coba bulutangkis ajar sepakbola tarik wni main latih negeri mengharumlan bangsa,negative
mantapp salam kalsel,positive
indonesia remeh lawan menang,positive
anak hilang bravo timnas jndonesia,positive
kalah menang vietam thailan malaysia tunggu gilir,negative
timnas bule maen lawan arab ngoper salah maen diblakanh gilir dicounter panik karuan emosi egkisnya diturunin dlu lini lini blakang sok iye,negative
imbang indonesia hasil baguss bukti bahwasannya indonesia imbang rangking baguss indonesia,positive
indonesia timnas bagus main natural isasi greget,positive
botak sembarang botak,negative
struick struickk,positive
jens raven masuk timnas senior,positive
sangt kejut untk indonesia karna argentina klh lawan arap thn garuda indonesia imbang arap hasil sangt muas indonesia,negative
komentator asa indo versus thailand,positive
ketua pssi kelak bawa indonesia masuk piala dunia tim apa juang,negative
